count,wgs_lng,wgs_lat,time
1.0,113.32468984551346,23.143951990816078,2018-10-12-08-00-24
1.0,113.32518881876672,23.143951037062667,2018-10-12-08-00-24
1.0,113.32543830571424,23.143950560364775,2018-10-12-08-00-24
1.0,113.32593728031809,23.143949607388393,2018-10-12-08-00-24
1.0,113.32643625595622,23.14394865505362,2018-10-12-08-00-24
1.0,113.32918064524415,23.143943433101484,2018-10-12-08-00-24
1.0,113.32967963021795,23.14394248734825,2018-10-12-08-00-24
1.0,113.32992912338744,23.14394201498423,2018-10-12-08-00-24
1.0,113.33042811115853,23.143941071343132,2018-10-12-08-00-24
1.0,113.33067760578687,23.14394060009075,2018-10-12-08-00-24
1.0,113.33092710092825,23.14394012923361,2018-10-12-08-00-24
1.0,113.33117659659607,23.143939658784046,2018-10-12-08-00-24
1.0,113.33192508689157,23.143938250004137,2018-10-12-08-00-24
1.0,113.33267358240565,23.1439368453362,2018-10-12-08-00-24
1.0,113.33292308213228,23.14393637808479,2018-10-12-08-00-24
2.0,113.33417059052954,23.143934049665283,2018-10-12-08-00-24
2.0,113.33442009425494,23.143933585634848,2018-10-12-08-00-24
1.0,113.33616664103911,23.143930354340792,2018-10-12-08-00-24
2.0,113.33641615083957,23.143929895291038,2018-10-12-08-00-24
1.0,113.33666566145891,23.143929436918803,2018-10-12-08-00-24
1.0,113.33716468520706,23.1439285222556,2018-10-12-08-00-24
1.0,113.33741419836223,23.143928065988945,2018-10-12-08-00-24
2.0,113.32468982851972,23.14420189177734,2018-10-12-08-00-24
2.0,113.32493931504284,23.144201414845107,2018-10-12-08-00-24
2.0,113.32543828871748,23.144200461325912,2018-10-12-08-00-24
1.0,113.3256877758958,23.14419998476366,2018-10-12-08-00-24
1.0,113.32593726331929,23.14419950834945,2018-10-12-08-00-24
1.0,113.32643623895542,23.144198556014594,2018-10-12-08-00-24
1.0,113.32668572719483,23.14419808011868,2018-10-12-08-00-24
2.0,113.32743419375932,23.144196653665357,2018-10-12-08-00-24
1.0,113.32793317314146,23.144195703848823,2018-10-12-08-00-24
1.0,113.3281826633745,23.144195229323355,2018-10-12-08-00-24
1.0,113.32868164499148,23.14419428109985,2018-10-12-08-00-24
1.0,113.3294301204951,23.144192861018595,2018-10-12-08-00-24
1.0,113.32967961320405,23.144192388308685,2018-10-12-08-00-24
1.0,113.32992910637255,23.14419191594462,2018-10-12-08-00-24
1.0,113.33042809414164,23.14419097230344,2018-10-12-08-00-24
1.0,113.33067758876898,23.14419050105102,2018-10-12-08-00-24
2.0,113.33092708390937,23.144190030193837,2018-10-12-08-00-24
1.0,113.33117657957618,23.14418955974423,2018-10-12-08-00-24
1.0,113.3326735653798,23.144186746296135,2018-10-12-08-00-24
1.0,113.33292306510546,23.144186279044682,2018-10-12-08-00-24
1.0,113.33392107047307,23.144184415222963,2018-10-12-08-00-24
2.0,113.3344200772222,23.144183486594493,2018-10-12-08-00-24
2.0,113.33466958165963,23.144183023143786,2018-10-12-08-00-24
