count,wgs_lng,wgs_lat,time
1.0,113.32493933203756,23.14395151388389,2018-10-06-15-00-33
1.0,113.32518881876673,23.143951037062674,2018-10-06-15-00-33
1.0,113.32543830571423,23.14395056036477,2018-10-06-15-00-33
1.0,113.32593728031807,23.143949607388397,2018-10-06-15-00-33
2.0,113.32818268038237,23.143945328362676,2018-10-06-15-00-33
1.0,113.32893115341308,23.143943906465978,2018-10-06-15-00-33
4.0,113.329430137508,23.143942960058123,2018-10-06-15-00-33
10.0,113.32967963021795,23.14394248734825,2018-10-06-15-00-33
4.0,113.32992912338743,23.14394201498423,2018-10-06-15-00-33
15.0,113.33017861702984,23.14394154297841,2018-10-06-15-00-33
1.0,113.33042811115853,23.143941071343132,2018-10-06-15-00-33
1.0,113.33067760578687,23.14394060009075,2018-10-06-15-00-33
1.0,113.33092710092824,23.14394012923361,2018-10-06-15-00-33
1.0,113.33117659659607,23.143939658784053,2018-10-06-15-00-33
2.0,113.33142609280365,23.14393918875439,2018-10-06-15-00-33
1.0,113.33167558956436,23.143938719156974,2018-10-06-15-00-33
3.0,113.33217458479862,23.143937781308182,2018-10-06-15-00-33
3.0,113.33317258249208,23.143935911339497,2018-10-06-15-00-33
10.0,113.33342208349843,23.143935445112614,2018-10-06-15-00-33
2.0,113.33367158516458,23.143934979416443,2018-10-06-15-00-33
2.0,113.33417059052955,23.143934049665283,2018-10-06-15-00-33
1.0,113.33442009425494,23.14393358563485,2018-10-06-15-00-33
1.0,113.33466959869335,23.14393312218418,2018-10-06-15-00-33
2.0,113.33566762384213,23.14393127442411,2018-10-06-15-00-33
1.0,113.33616664103913,23.143930354340785,2018-10-06-15-00-33
2.0,113.33666566145894,23.143929436918807,2018-10-06-15-00-33
2.0,113.33741419836224,23.143928065988945,2018-10-06-15-00-33
1.0,113.33766371238899,23.14392761044845,2018-10-06-15-00-33
1.0,113.32468982851972,23.14420189177734,2018-10-06-15-00-33
2.0,113.32668572719484,23.14419808011868,2018-10-06-15-00-33
1.0,113.32693521573304,23.144197604420253,2018-10-06-15-00-33
2.0,113.32718470458336,23.14419712893169,2018-10-06-15-00-33
1.0,113.3274341937593,23.14419665366536,2018-10-06-15-00-33
1.0,113.32793317314146,23.144195703848826,2018-10-06-15-00-33
2.0,113.3281826633745,23.144195229323355,2018-10-06-15-00-33
1.0,113.32868164499149,23.144194281099853,2018-10-06-15-00-33
1.0,113.3289311364022,23.144193807426532,2018-10-06-15-00-33
1.0,113.32943012049509,23.144192861018595,2018-10-06-15-00-33
1.0,113.32992910637256,23.14419191594462,2018-10-06-15-00-33
2.0,113.33017860001394,23.144191443938755,2018-10-06-15-00-33
2.0,113.33042809414164,23.14419097230344,2018-10-06-15-00-33
1.0,113.33067758876898,23.14419050105102,2018-10-06-15-00-33
1.0,113.33142607578276,23.144189089714533,2018-10-06-15-00-33
1.0,113.33242406627406,23.14418721404141,2018-10-06-15-00-33
1.0,113.33292306510546,23.144186279044682,2018-10-06-15-00-33
5.0,113.33317256546428,23.14418581229935,2018-10-06-15-00-33
57.0,113.33342206646964,23.14418534607243,2018-10-06-15-00-33
1.0,113.33392107047308,23.144184415222963,2018-10-06-15-00-33
2.0,113.33417057349779,23.144183950624967,2018-10-06-15-00-33
3.0,113.33442007722219,23.144183486594486,2018-10-06-15-00-33
1.0,113.33491908682328,23.144182560285106,2018-10-06-15-00-33
3.0,113.3351685927265,23.144182098030683,2018-10-06-15-00-33
1.0,113.3354180993825,23.144181636392755,2018-10-06-15-00-33
1.0,113.33716466816362,23.144178423214782,2018-10-06-15-00-33
1.0,113.32618673400141,23.144448933089443,2018-10-06-15-00-33
2.0,113.32718468757939,23.144447029925328,2018-10-06-15-00-33
1.0,113.3276836662682,23.144446079627162,2018-10-06-15-00-33
1.0,113.32818264636649,23.14444513031682,2018-10-06-15-00-33
1.0,113.32868162798141,23.144444182093228,2018-10-06-15-00-33
1.0,113.32893111939114,23.14444370841988,2018-10-06-15-00-33
1.0,113.32918061122021,23.1444432350553,2018-10-06-15-00-33
1.0,113.32967959618999,23.144442289301907,2018-10-06-15-00-33
1.0,113.33067757175093,23.144440402044072,2018-10-06-15-00-33
2.0,113.33292304807848,23.14443618003736,2018-10-06-15-00-33
1.0,113.33317254843632,23.144435713291987,2018-10-06-15-00-33
2.0,113.33417055646585,23.144433851617443,2018-10-06-15-00-33
1.0,113.3344200601893,23.144433387586922,2018-10-06-15-00-33
26.0,113.33516857569064,23.14443199902298,2018-10-06-15-00-33
1.0,113.3354180823457,23.14443153738501,2018-10-06-15-00-33
1.0,113.33716465112002,23.144428324206746,2018-10-06-15-00-33
1.0,113.32468979453176,23.144701693798265,2018-10-06-15-00-33
1.0,113.32518876777895,23.144700740044602,2018-10-06-15-00-33
1.0,113.32568774189974,23.144699786784248,2018-10-06-15-00-33
2.0,113.3259372293212,23.14469931036996,2018-10-06-15-00-33
2.0,113.32618671700126,23.144698834116074,2018-10-06-15-00-33
1.0,113.32643620495328,23.14469835803494,2018-10-06-15-00-33
1.0,113.32693518172688,23.14469740644044,2018-10-06-15-00-33
1.0,113.32718467057519,23.144696930951792,2018-10-06-15-00-33
1.0,113.32768364926201,23.144695980653548,2018-10-06-15-00-33
1.0,113.32967957917576,23.144692190327955,2018-10-06-15-00-33
1.0,113.33017856598164,23.144691245957862,2018-10-06-15-00-33
1.0,113.33042806010737,23.144690774322466,2018-10-06-15-00-33
2.0,113.3306775547327,23.144690303069957,2018-10-06-15-00-33
1.0,113.33092704987111,23.14468983221269,2018-10-06-15-00-33
2.0,113.33117654553593,23.144689361763007,2018-10-06-15-00-33
1.0,113.3319250358225,23.144687952982718,2018-10-06-15-00-33
1.0,113.33217453372656,23.144687484286642,2018-10-06-15-00-33
1.0,113.33242403222384,23.14468701605977,2018-10-06-15-00-33
1.0,113.33317253140815,23.144685614317456,2018-10-06-15-00-33
1.0,113.33367153407472,23.144684682394143,2018-10-06-15-00-33
13.0,113.3349190527534,23.14468236230262,2018-10-06-15-00-33
25.0,113.33516855865466,23.144681900048123,2018-10-06-15-00-33
2.0,113.3354180653087,23.14468143841011,2018-10-06-15-00-33
2.0,113.33566757272877,23.14468097740082,2018-10-06-15-00-33
1.0,113.33741414722851,23.14467776896477,2018-10-06-15-00-33
1.0,113.3251887507827,23.144950641104288,2018-10-06-15-00-33
1.0,113.32543823772622,23.144950164406232,2018-10-06-15-00-33
1.0,113.32568772490148,23.14494968784385,2018-10-06-15-00-33
1.0,113.32593721232193,23.14494921142952,2018-10-06-15-00-33
2.0,113.32618670000096,23.14494873517559,2018-10-06-15-00-33
2.0,113.32643618795198,23.144948259094424,2018-10-06-15-00-33
1.0,113.32668567618835,23.144947783198386,2018-10-06-15-00-33
1.0,113.32693516472355,23.144947307499837,2018-10-06-15-00-33
1.0,113.32718465357084,23.144946832011147,2018-10-06-15-00-33
2.0,113.32743414274375,23.14494635674469,2018-10-06-15-00-33
2.0,113.33017854896526,23.14494114701672,2018-10-06-15-00-33
1.0,113.33067753771431,23.144940204128734,2018-10-06-15-00-33
1.0,113.33192501879914,23.14493785404129,2018-10-06-15-00-33
1.0,113.33242401519848,23.144936917118248,2018-10-06-15-00-33
1.0,113.33292301402399,23.14493598212127,2018-10-06-15-00-33
1.0,113.33317251437984,23.144935515375813,2018-10-06-15-00-33
3.0,113.33392101937977,23.14493411829905,2018-10-06-15-00-33
1.0,113.33491903571822,23.14493226336069,2018-10-06-15-00-33
1.0,113.33566755569063,23.144930878458762,2018-10-06-15-00-33
1.0,113.33666559329191,23.14492904095279,2018-10-06-15-00-33
2.0,113.33741413018365,23.144927670022426,2018-10-06-15-00-33
2.0,113.32518873378628,23.145200542196932,2018-10-06-15-00-33
2.0,113.32543822072876,23.14520006549883,2018-10-06-15-00-33
1.0,113.32593719532248,23.14519911252204,2018-10-06-15-00-33
1.0,113.32618668300049,23.145198636268066,2018-10-06-15-00-33
1.0,113.33092701583216,23.145189634363113,2018-10-06-15-00-33
1.0,113.33167550445333,23.14518822428586,2018-10-06-15-00-33
1.0,113.33192500177559,23.14518775513281,2018-10-06-15-00-33
1.0,113.33267349727478,23.14518635046425,2018-10-06-15-00-33
1.0,113.33292299699647,23.14518588321263,2018-10-06-15-00-33
1.0,113.33317249735136,23.14518541646713,2018-10-06-15-00-33
1.0,113.33367150001398,23.14518448454365,2018-10-06-15-00-33
2.0,113.33491901868284,23.145182164451715,2018-10-06-15-00-33
1.0,113.33566753865236,23.145180779549662,2018-10-06-15-00-33
4.0,113.33591704684977,23.145180319181215,2018-10-06-15-00-33
1.0,113.33616655583964,23.145179859465923,2018-10-06-15-00-33
1.0,113.32493923006665,23.145450920144047,2018-10-06-15-00-33
1.0,113.32568769090443,23.14544949006197,2018-10-06-15-00-33
1.0,113.32593717832285,23.145449013647557,2018-10-06-15-00-33
1.0,113.32893105134528,23.145443312722165,2018-10-06-15-00-33
1.0,113.32918054317034,23.145442839357425,2018-10-06-15-00-33
1.0,113.33042800905469,23.145440477597823,2018-10-06-15-00-33
1.0,113.33317248032273,23.14543531759145,2018-10-06-15-00-33
