count,wgs_lng,wgs_lat,time
1.0,113.32468984551346,23.143951990816078,2018-10-14-14-13-52
1.0,113.32493933203756,23.14395151388389,2018-10-14-14-13-52
1.0,113.32543830571423,23.14395056036477,2018-10-14-14-13-52
1.0,113.3256877928936,23.143950083802558,2018-10-14-14-13-52
1.0,113.32743421076417,23.143946752704547,2018-10-14-14-13-52
1.0,113.32868166200136,23.14394438013925,2018-10-14-14-13-52
1.0,113.329430137508,23.143942960058123,2018-10-14-14-13-52
1.0,113.32967963021795,23.14394248734825,2018-10-14-14-13-52
3.0,113.32992912338743,23.14394201498423,2018-10-14-14-13-52
1.0,113.33017861702984,23.14394154297841,2018-10-14-14-13-52
1.0,113.33042811115853,23.143941071343132,2018-10-14-14-13-52
2.0,113.33067760578687,23.14394060009075,2018-10-14-14-13-52
2.0,113.33092710092824,23.14394012923361,2018-10-14-14-13-52
1.0,113.33117659659607,23.143939658784053,2018-10-14-14-13-52
1.0,113.33142609280365,23.14393918875439,2018-10-14-14-13-52
1.0,113.33192508689156,23.14393825000414,2018-10-14-14-13-52
2.0,113.33217458479862,23.143937781308182,2018-10-14-14-13-52
2.0,113.33267358240565,23.1439368453362,2018-10-14-14-13-52
1.0,113.33292308213228,23.14393637808479,2018-10-14-14-13-52
2.0,113.33367158516458,23.143934979416443,2018-10-14-14-13-52
3.0,113.33442009425494,23.14393358563485,2018-10-14-14-13-52
2.0,113.33466959869335,23.14393312218418,2018-10-14-14-13-52
1.0,113.33491910385797,23.14393265932554,2018-10-14-14-13-52
1.0,113.33566762384213,23.14393127442411,2018-10-14-14-13-52
1.0,113.33591713204441,23.143930814055878,2018-10-14-14-13-52
1.0,113.33616664103913,23.143930354340785,2018-10-14-14-13-52
2.0,113.33641615083955,23.143929895291038,2018-10-14-14-13-52
2.0,113.33666566145894,23.143929436918807,2018-10-14-14-13-52
1.0,113.33691517291035,23.143928979236268,2018-10-14-14-13-52
2.0,113.33716468520706,23.143928522255603,2018-10-14-14-13-52
2.0,113.33766371238899,23.14392761044845,2018-10-14-14-13-52
3.0,113.32468982851972,23.14420189177734,2018-10-14-14-13-52
1.0,113.32518880177095,23.144200938023854,2018-10-14-14-13-52
2.0,113.32593726331929,23.14419950834945,2018-10-14-14-13-52
1.0,113.32618675100136,23.144199032095642,2018-10-14-14-13-52
