count,wgs_lng,wgs_lat,time
1.0,113.32468984551346,23.143951990816078,2018-10-07-22-00-42
1.0,113.32518881876672,23.143951037062667,2018-10-07-22-00-42
1.0,113.32543830571424,23.143950560364775,2018-10-07-22-00-42
1.0,113.32568779289359,23.14395008380256,2018-10-07-22-00-42
1.0,113.32593728031809,23.143949607388393,2018-10-07-22-00-42
1.0,113.32618676800116,23.143949131134626,2018-10-07-22-00-42
1.0,113.32668574419665,23.143948179157746,2018-10-07-22-00-42
1.0,113.32743421076417,23.14394675270455,2018-10-07-22-00-42
1.0,113.32768370028006,23.143946277672846,2018-10-07-22-00-42
1.0,113.32918064524415,23.143943433101484,2018-10-07-22-00-42
3.0,113.32943013750798,23.14394296005812,2018-10-07-22-00-42
1.0,113.32967963021795,23.14394248734825,2018-10-07-22-00-42
2.0,113.32992912338744,23.14394201498423,2018-10-07-22-00-42
1.0,113.33017861702983,23.143941542978407,2018-10-07-22-00-42
1.0,113.33042811115853,23.143941071343132,2018-10-07-22-00-42
1.0,113.33117659659607,23.143939658784046,2018-10-07-22-00-42
1.0,113.33142609280364,23.14393918875439,2018-10-07-22-00-42
1.0,113.33167558956437,23.143938719156978,2018-10-07-22-00-42
1.0,113.33192508689157,23.143938250004137,2018-10-07-22-00-42
2.0,113.33217458479862,23.143937781308182,2018-10-07-22-00-42
1.0,113.33242408329887,23.143937313081434,2018-10-07-22-00-42
1.0,113.33267358240565,23.1439368453362,2018-10-07-22-00-42
1.0,113.33292308213228,23.14393637808479,2018-10-07-22-00-42
1.0,113.3331725824921,23.143935911339497,2018-10-07-22-00-42
1.0,113.33417059052954,23.143934049665283,2018-10-07-22-00-42
1.0,113.33442009425494,23.143933585634848,2018-10-07-22-00-42
1.0,113.33466959869334,23.143933122184183,2018-10-07-22-00-42
1.0,113.33541811641913,23.143931735433277,2018-10-07-22-00-42
1.0,113.33566762384213,23.143931274424112,2018-10-07-22-00-42
2.0,113.33616664103911,23.143930354340792,2018-10-07-22-00-42
2.0,113.33666566145891,23.143929436918803,2018-10-07-22-00-42
1.0,113.33691517291034,23.14392897923627,2018-10-07-22-00-42
1.0,113.33716468520706,23.1439285222556,2018-10-07-22-00-42
1.0,113.33741419836223,23.143928065988945,2018-10-07-22-00-42
1.0,113.337663712389,23.143927610448454,2018-10-07-22-00-42
2.0,113.32468982851972,23.14420189177734,2018-10-07-22-00-42
2.0,113.32493931504284,23.144201414845107,2018-10-07-22-00-42
1.0,113.32518880177096,23.144200938023847,2018-10-07-22-00-42
1.0,113.32543828871748,23.144200461325912,2018-10-07-22-00-42
1.0,113.3256877758958,23.14419998476366,2018-10-07-22-00-42
1.0,113.32593726331929,23.14419950834945,2018-10-07-22-00-42
1.0,113.32618675100136,23.14419903209564,2018-10-07-22-00-42
2.0,113.32643623895542,23.144198556014594,2018-10-07-22-00-42
2.0,113.32718470458337,23.144197128931694,2018-10-07-22-00-42
1.0,113.32743419375932,23.144196653665357,2018-10-07-22-00-42
2.0,113.3276836832742,23.14419617863361,2018-10-07-22-00-42
2.0,113.32793317314146,23.144195703848823,2018-10-07-22-00-42
1.0,113.3281826633745,23.144195229323355,2018-10-07-22-00-42
1.0,113.3284321539867,23.144194755069577,2018-10-07-22-00-42
1.0,113.32893113640219,23.144193807426536,2018-10-07-22-00-42
2.0,113.32967961320405,23.144192388308685,2018-10-07-22-00-42
1.0,113.32992910637255,23.14419191594462,2018-10-07-22-00-42
2.0,113.33017860001394,23.144191443938755,2018-10-07-22-00-42
1.0,113.33067758876898,23.14419050105102,2018-10-07-22-00-42
1.0,113.3316755725425,23.14418862011708,2018-10-07-22-00-42
1.0,113.33317256546428,23.144185812299348,2018-10-07-22-00-42
1.0,113.33367156813479,23.14418488037621,2018-10-07-22-00-42
1.0,113.33417057349779,23.14418395062497,2018-10-07-22-00-42
1.0,113.3344200772222,23.144183486594493,2018-10-07-22-00-42
2.0,113.33466958165963,23.144183023143786,2018-10-07-22-00-42
2.0,113.33491908682329,23.144182560285103,2018-10-07-22-00-42
1.0,113.3351685927265,23.14418209803068,2018-10-07-22-00-42
1.0,113.3354180993825,23.144181636392755,2018-10-07-22-00-42
1.0,113.3356676068045,23.144181175383547,2018-10-07-22-00-42
1.0,113.33741418131783,23.14417796694809,2018-10-07-22-00-42
1.0,113.32468981152583,23.144451792771385,2018-10-07-22-00-42
1.0,113.32493929804792,23.14445131583911,2018-10-07-22-00-42
1.0,113.32568775889786,23.14444988575754,2018-10-07-22-00-42
1.0,113.3261867340014,23.144448933089436,2018-10-07-22-00-42
1.0,113.32668571019285,23.144447981112393,2018-10-07-22-00-42
1.0,113.32693519873003,23.14444750541393,2018-10-07-22-00-42
1.0,113.32718468757938,23.144447029925328,2018-10-07-22-00-42
2.0,113.3274341767543,23.14444655465895,2018-10-07-22-00-42
1.0,113.32768366626819,23.14444607962716,2018-10-07-22-00-42
1.0,113.32793315613443,23.14444560484233,2018-10-07-22-00-42
1.0,113.32818264636647,23.14444513031682,2018-10-07-22-00-42
1.0,113.33017858299787,23.14444134493189,2018-10-07-22-00-42
1.0,113.33167555552046,23.144438521109965,2018-10-07-22-00-42
1.0,113.33392105344214,23.144434316215474,2018-10-07-22-00-42
1.0,113.33417055646586,23.14443385161744,2018-10-07-22-00-42
4.0,113.33466956462574,23.144432924136172,2018-10-07-22-00-42
2.0,113.33491906978844,23.144432461277447,2018-10-07-22-00-42
1.0,113.33516857569066,23.14443199902298,2018-10-07-22-00-42
1.0,113.33541808234568,23.144431537385014,2018-10-07-22-00-42
1.0,113.33566758976671,23.144431076375767,2018-10-07-22-00-42
1.0,113.33716465112002,23.14442832420675,2018-10-07-22-00-42
1.0,113.33741416427326,23.144427867940013,2018-10-07-22-00-42
1.0,113.32493928105285,23.14470121686595,2018-10-07-22-00-42
2.0,113.32992907234227,23.14469171796381,2018-10-07-22-00-42
1.0,113.33017856598165,23.144691245957862,2018-10-07-22-00-42
