count,wgs_lng,wgs_lat,time
1.0,113.32468984551346,23.143951990816078,2018-10-06-11-00-31
1.0,113.32518881876672,23.143951037062667,2018-10-06-11-00-31
1.0,113.32868166200136,23.14394438013925,2018-10-06-11-00-31
1.0,113.32918064524415,23.143943433101484,2018-10-06-11-00-31
4.0,113.32943013750798,23.14394296005812,2018-10-06-11-00-31
2.0,113.32967963021795,23.14394248734825,2018-10-06-11-00-31
2.0,113.32992912338744,23.14394201498423,2018-10-06-11-00-31
2.0,113.33017861702983,23.143941542978407,2018-10-06-11-00-31
2.0,113.33042811115853,23.143941071343132,2018-10-06-11-00-31
1.0,113.33167558956437,23.143938719156978,2018-10-06-11-00-31
1.0,113.33217458479862,23.143937781308182,2018-10-06-11-00-31
1.0,113.33267358240565,23.1439368453362,2018-10-06-11-00-31
1.0,113.33342208349843,23.143935445112618,2018-10-06-11-00-31
1.0,113.33367158516458,23.14393497941644,2018-10-06-11-00-31
3.0,113.33417059052954,23.143934049665283,2018-10-06-11-00-31
2.0,113.33442009425494,23.143933585634848,2018-10-06-11-00-31
2.0,113.33466959869334,23.143933122184183,2018-10-06-11-00-31
1.0,113.33516860976216,23.143932197071162,2018-10-06-11-00-31
1.0,113.33616664103911,23.143930354340792,2018-10-06-11-00-31
2.0,113.33641615083957,23.143929895291038,2018-10-06-11-00-31
1.0,113.33691517291034,23.14392897923627,2018-10-06-11-00-31
1.0,113.33716468520706,23.1439285222556,2018-10-06-11-00-31
1.0,113.32468982851972,23.14420189177734,2018-10-06-11-00-31
3.0,113.32493931504284,23.144201414845107,2018-10-06-11-00-31
1.0,113.32518880177096,23.144200938023847,2018-10-06-11-00-31
2.0,113.32618675100136,23.14419903209564,2018-10-06-11-00-31
2.0,113.32718470458337,23.144197128931694,2018-10-06-11-00-31
1.0,113.32793317314146,23.144195703848823,2018-10-06-11-00-31
1.0,113.3281826633745,23.144195229323355,2018-10-06-11-00-31
1.0,113.3284321539867,23.144194755069577,2018-10-06-11-00-31
1.0,113.32893113640219,23.144193807426536,2018-10-06-11-00-31
2.0,113.3294301204951,23.144192861018595,2018-10-06-11-00-31
1.0,113.32967961320405,23.144192388308685,2018-10-06-11-00-31
3.0,113.33017860001394,23.144191443938755,2018-10-06-11-00-31
2.0,113.33042809414164,23.14419097230344,2018-10-06-11-00-31
1.0,113.33067758876898,23.14419050105102,2018-10-06-11-00-31
1.0,113.33117657957618,23.14418955974423,2018-10-06-11-00-31
1.0,113.33192506986872,23.144188150964197,2018-10-06-11-00-31
1.0,113.3326735653798,23.144186746296135,2018-10-06-11-00-31
1.0,113.33417057349779,23.14418395062497,2018-10-06-11-00-31
2.0,113.3344200772222,23.144183486594493,2018-10-06-11-00-31
1.0,113.33466958165963,23.144183023143786,2018-10-06-11-00-31
1.0,113.3354180993825,23.144181636392755,2018-10-06-11-00-31
1.0,113.3356676068045,23.144181175383547,2018-10-06-11-00-31
1.0,113.33691515586787,23.144178880195497,2018-10-06-11-00-31
1.0,113.32493929804792,23.14445131583911,2018-10-06-11-00-31
1.0,113.32568775889786,23.14444988575754,2018-10-06-11-00-31
1.0,113.3261867340014,23.144448933089436,2018-10-06-11-00-31
1.0,113.32643622195444,23.144448457008348,2018-10-06-11-00-31
1.0,113.32693519873003,23.14444750541393,2018-10-06-11-00-31
1.0,113.32718468757938,23.144447029925328,2018-10-06-11-00-31
1.0,113.32793315613443,23.14444560484233,2018-10-06-11-00-31
4.0,113.32818264636647,23.14444513031682,2018-10-06-11-00-31
1.0,113.32843213697765,23.144444656063,2018-10-06-11-00-31
1.0,113.32893111939114,23.144443708419878,2018-10-06-11-00-31
2.0,113.32918061122021,23.1444432350553,2018-10-06-11-00-31
1.0,113.32943010348204,23.144442762011856,2018-10-06-11-00-31
1.0,113.32992908935749,23.144441816937796,2018-10-06-11-00-31
1.0,113.33117656255614,23.144439460737196,2018-10-06-11-00-31
2.0,113.33142605876172,23.14443899070746,2018-10-06-11-00-31
1.0,113.33167555552046,23.144438521109965,2018-10-06-11-00-31
1.0,113.33192505284568,23.14443805195704,2018-10-06-11-00-31
1.0,113.33292304807847,23.14443618003736,2018-10-06-11-00-31
2.0,113.3344200601893,23.14443338758692,2018-10-06-11-00-31
3.0,113.33491906978844,23.144432461277447,2018-10-06-11-00-31
1.0,113.33591709796704,23.14443061600745,2018-10-06-11-00-31
1.0,113.33616660695982,23.144430156292277,2018-10-06-11-00-31
1.0,113.33666562737574,23.144429238870124,2018-10-06-11-00-31
1.0,113.33716465112002,23.14442832420675,2018-10-06-11-00-31
1.0,113.33741416427326,23.144427867940013,2018-10-06-11-00-31
1.0,113.32493928105285,23.14470121686595,2018-10-06-11-00-31
1.0,113.32618671700126,23.144698834116067,2018-10-06-11-00-31
1.0,113.32668569319068,23.144697882138942,2018-10-06-11-00-31
1.0,113.32718467057519,23.144696930951792,2018-10-06-11-00-31
1.0,113.32743415974912,23.144696455685374,2018-10-06-11-00-31
1.0,113.32843211996845,23.144694557089263,2018-10-06-11-00-31
1.0,113.32893110237993,23.144693609446055,2018-10-06-11-00-31
1.0,113.32943008646882,23.14469266303795,2018-10-06-11-00-31
1.0,113.33042806010735,23.144690774322463,2018-10-06-11-00-31
1.0,113.33117654553593,23.144689361763003,2018-10-06-11-00-31
1.0,113.33142604174051,23.144688891733225,2018-10-06-11-00-31
2.0,113.33192503582248,23.144687952982718,2018-10-06-11-00-31
2.0,113.33217453372656,23.14468748428664,2018-10-06-11-00-31
1.0,113.33242403222383,23.144687016059766,2018-10-06-11-00-31
1.0,113.33267353132763,23.14468654831441,2018-10-06-11-00-31
1.0,113.33317253140815,23.144685614317456,2018-10-06-11-00-31
1.0,113.33392103641103,23.14468421724082,2018-10-06-11-00-31
1.0,113.33417053943379,23.14468375264274,2018-10-06-11-00-31
3.0,113.3349190527534,23.144682362302625,2018-10-06-11-00-31
1.0,113.33516855865466,23.14468190004812,2018-10-06-11-00-31
2.0,113.3354180653087,23.14468143841011,2018-10-06-11-00-31
6.0,113.33566757272877,23.14468097740082,2018-10-06-11-00-31
1.0,113.33591708092811,23.144680517032466,2018-10-06-11-00-31
1.0,113.33641609971747,23.144679598267366,2018-10-06-11-00-31
1.0,113.32593721232192,23.14494921142952,2018-10-06-11-00-31
2.0,113.32643618795198,23.14494825909442,2018-10-06-11-00-31
1.0,113.32668567618836,23.144947783198383,2018-10-06-11-00-31
1.0,113.32693516472354,23.144947307499834,2018-10-06-11-00-31
1.0,113.32718465357085,23.14494683201115,2018-10-06-11-00-31
1.0,113.32943006945543,23.144942564096933,2018-10-06-11-00-31
2.0,113.33042804308995,23.144940675381278,2018-10-06-11-00-31
1.0,113.33117652851554,23.144939262821694,2018-10-06-11-00-31
1.0,113.3321745167022,23.144937385345166,2018-10-06-11-00-31
1.0,113.33392101937976,23.144934118299055,2018-10-06-11-00-31
1.0,113.33417052240154,23.144933653700935,2018-10-06-11-00-31
1.0,113.334420026123,23.144933189670333,2018-10-06-11-00-31
2.0,113.33491903571822,23.144932263360694,2018-10-06-11-00-31
2.0,113.33591706388901,23.144930418090365,2018-10-06-11-00-31
1.0,113.33641608267644,23.144929499325183,2018-10-06-11-00-31
1.0,113.3366655932919,23.144929040952785,2018-10-06-11-00-31
2.0,113.3249392470622,23.14520101901836,2018-10-06-11-00-31
1.0,113.32593719532247,23.145199112522036,2018-10-06-11-00-31
1.0,113.3264361709505,23.14519816018685,2018-10-06-11-00-31
1.0,113.32668565918588,23.14519768429077,2018-10-06-11-00-31
1.0,113.328931068357,23.14519341159714,2018-10-06-11-00-31
1.0,113.3301785319487,23.14519104810853,2018-10-06-11-00-31
1.0,113.33067752069576,23.14519010522046,2018-10-06-11-00-31
