count,wgs_lng,wgs_lat,time
1.0,113.32468984551346,23.143951990816078,2018-10-02-08-00-11
1.0,113.32518881876672,23.143951037062667,2018-10-02-08-00-11
1.0,113.32593728031809,23.143949607388393,2018-10-02-08-00-11
1.0,113.32618676800116,23.143949131134626,2018-10-02-08-00-11
1.0,113.32643625595622,23.14394865505362,2018-10-02-08-00-11
1.0,113.32743421076417,23.14394675270455,2018-10-02-08-00-11
2.0,113.33067760578687,23.14394060009075,2018-10-02-08-00-11
1.0,113.33092710092825,23.14394012923361,2018-10-02-08-00-11
1.0,113.33167558956437,23.143938719156978,2018-10-02-08-00-11
1.0,113.33242408329887,23.143937313081434,2018-10-02-08-00-11
1.0,113.3331725824921,23.143935911339497,2018-10-02-08-00-11
1.0,113.33367158516458,23.14393497941644,2018-10-02-08-00-11
1.0,113.33442009425494,23.143933585634848,2018-10-02-08-00-11
3.0,113.33466959869334,23.143933122184183,2018-10-02-08-00-11
7.0,113.33491910385798,23.14393265932554,2018-10-02-08-00-11
6.0,113.33516860976216,23.143932197071162,2018-10-02-08-00-11
8.0,113.33541811641913,23.143931735433277,2018-10-02-08-00-11
5.0,113.33566762384213,23.143931274424112,2018-10-02-08-00-11
5.0,113.33591713204439,23.14393081405588,2018-10-02-08-00-11
2.0,113.33616664103911,23.143930354340792,2018-10-02-08-00-11
1.0,113.33691517291034,23.14392897923627,2018-10-02-08-00-11
1.0,113.33716468520706,23.1439285222556,2018-10-02-08-00-11
1.0,113.32493931504284,23.144201414845107,2018-10-02-08-00-11
1.0,113.32518880177096,23.144200938023847,2018-10-02-08-00-11
1.0,113.32543828871748,23.144200461325912,2018-10-02-08-00-11
1.0,113.32593726331929,23.14419950834945,2018-10-02-08-00-11
1.0,113.32643623895542,23.144198556014594,2018-10-02-08-00-11
1.0,113.32693521573303,23.144197604420256,2018-10-02-08-00-11
1.0,113.32718470458337,23.144197128931694,2018-10-02-08-00-11
1.0,113.32743419375932,23.144196653665357,2018-10-02-08-00-11
1.0,113.32893113640219,23.144193807426536,2018-10-02-08-00-11
1.0,113.33067758876898,23.14419050105102,2018-10-02-08-00-11
1.0,113.33117657957618,23.14418955974423,2018-10-02-08-00-11
1.0,113.33292306510546,23.144186279044682,2018-10-02-08-00-11
1.0,113.3344200772222,23.144183486594493,2018-10-02-08-00-11
1.0,113.33491908682329,23.144182560285103,2018-10-02-08-00-11
1.0,113.3354180993825,23.144181636392755,2018-10-02-08-00-11
1.0,113.3356676068045,23.144181175383547,2018-10-02-08-00-11
1.0,113.3359171150058,23.144180715015278,2018-10-02-08-00-11
1.0,113.33741418131783,23.14417796694809,2018-10-02-08-00-11
1.0,113.32493929804792,23.14445131583911,2018-10-02-08-00-11
1.0,113.32643622195444,23.144448457008348,2018-10-02-08-00-11
1.0,113.3274341767543,23.14444655465895,2018-10-02-08-00-11
1.0,113.32943010348204,23.144442762011856,2018-10-02-08-00-11
1.0,113.33167555552046,23.144438521109965,2018-10-02-08-00-11
1.0,113.3344200601893,23.14443338758692,2018-10-02-08-00-11
1.0,113.33516857569066,23.14443199902298,2018-10-02-08-00-11
1.0,113.32493928105285,23.14470121686595,2018-10-02-08-00-11
1.0,113.32967957917577,23.144692190327955,2018-10-02-08-00-11
1.0,113.33042806010735,23.144690774322463,2018-10-02-08-00-11
1.0,113.3306775547327,23.144690303069957,2018-10-02-08-00-11
1.0,113.33242403222383,23.144687016059766,2018-10-02-08-00-11
1.0,113.33267353132763,23.14468654831441,2018-10-02-08-00-11
1.0,113.33417053943379,23.14468375264274,2018-10-02-08-00-11
1.0,113.33516855865466,23.14468190004812,2018-10-02-08-00-11
1.0,113.3354180653087,23.14468143841011,2018-10-02-08-00-11
1.0,113.33566757272877,23.14468097740082,2018-10-02-08-00-11
1.0,113.33716463407626,23.14467822523155,2018-10-02-08-00-11
1.0,113.33741414722853,23.144677768964772,2018-10-02-08-00-11
1.0,113.33766366125242,23.144677313424157,2018-10-02-08-00-11
1.0,113.32668567618836,23.144947783198383,2018-10-02-08-00-11
1.0,113.32743414274377,23.144946356744686,2018-10-02-08-00-11
1.0,113.32992905532687,23.14494161902271,2018-10-02-08-00-11
1.0,113.33017854896526,23.14494114701672,2018-10-02-08-00-11
1.0,113.33142602471914,23.144938792791873,2018-10-02-08-00-11
1.0,113.33491903571822,23.144932263360694,2018-10-02-08-00-11
1.0,113.32618668300049,23.145198636268063,2018-10-02-08-00-11
