count,wgs_lng,wgs_lat,time
1.0,113.33417059052955,23.143934049665283,2018-10-14-06-00-20
1.0,113.33442009425494,23.14393358563485,2018-10-14-06-00-20
1.0,113.33641615083955,23.143929895291038,2018-10-14-06-00-20
1.0,113.32793317314146,23.144195703848826,2018-10-14-06-00-20
1.0,113.3281826633745,23.144195229323355,2018-10-14-06-00-20
1.0,113.3356676068045,23.144181175383547,2018-10-14-06-00-20
1.0,113.32793315613443,23.14444560484233,2018-10-14-06-00-20
1.0,113.33516857569064,23.14443199902298,2018-10-14-06-00-20
1.0,113.32793313912724,23.144695505868672,2018-10-14-06-00-20
1.0,113.33117654553593,23.144689361763007,2018-10-14-06-00-20
1.0,113.3319250358225,23.144687952982718,2018-10-14-06-00-20
1.0,113.33267353132764,23.14468654831441,2018-10-14-06-00-20
1.0,113.3349190527534,23.14468236230262,2018-10-14-06-00-20
1.0,113.3354180653087,23.14468143841011,2018-10-14-06-00-20
1.0,113.32943006945543,23.144942564096926,2018-10-14-06-00-20
1.0,113.3296795621614,23.1449420913869,2018-10-14-06-00-20
1.0,113.32992905532689,23.144941619022713,2018-10-14-06-00-20
1.0,113.32718463656636,23.14519673310345,2018-10-14-06-00-20
1.0,113.33741411313856,23.145177571113024,2018-10-14-06-00-20
1.0,113.32568769090443,23.14544949006197,2018-10-14-06-00-20
1.0,113.3254381867334,23.145699867783094,2018-10-14-06-00-20
1.0,113.32593716132305,23.145698914806136,2018-10-14-06-00-20
1.0,113.33267346322128,23.14568615274611,2018-10-14-06-00-20
1.0,113.33392096828496,23.145683821671692,2018-10-14-06-00-20
1.0,113.33566750457528,23.145680581830522,2018-10-14-06-00-20
1.0,113.33367144892162,23.145934188015598,2018-10-14-06-00-20
1.0,113.3256876229083,23.146449094895395,2018-10-14-06-00-20
1.0,113.33666549103636,23.146428447993358,2018-10-14-06-00-20
1.0,113.32518863180428,23.146699949447857,2018-10-14-06-00-20
1.0,113.3341704031711,23.14668296203405,2018-10-14-06-00-20
1.0,113.32568758890926,23.146948897511624,2018-10-14-06-00-20
1.0,113.32718451753016,23.14694604167693,2018-10-14-06-00-20
1.0,113.3319248826062,23.146937063700772,2018-10-14-06-00-20
1.0,113.3324238789897,23.14693612677707,2018-10-14-06-00-20
1.0,113.33342187914181,23.146934258806247,2018-10-14-06-00-20
1.0,113.33417038613753,23.14693286335742,2018-10-14-06-00-20
1.0,113.32593705932085,23.147198322455093,2018-10-14-06-00-20
1.0,113.32643603493271,23.14719737011925,2018-10-14-06-00-20
1.0,113.33317236111752,23.147184626390573,2018-10-14-06-00-20
1.0,113.33342186211101,23.14718416016315,2018-10-14-06-00-20
