OBJECTID,x,y
0,113.331151758999990,23.148950732700001
1,113.340912204000010,23.148805985599999
2,113.350672570000000,23.148660634900001
3,113.331308002000000,23.157976492300001
4,113.341069098999990,23.157831682400001
5,113.350830118000000,23.157686268500001
6,113.331464323000010,23.167002240599999
7,113.341226074000010,23.166857367799999
8,113.350987746000000,23.166711890799998
9,113.331620723000000,23.176027977499999
10,113.341383127000000,23.175883041799999
11,113.351145452000000,23.175737501699999
