OBJECTID,x,y
1,112.538564894310990,22.651697031918982
2,112.562823922807910,22.652371813759888
3,113.145304927099330,22.667469376210693
4,113.169585442514080,22.668052667137754
5,113.193866752572700,22.668632291714196
6,112.416534611821020,22.670780361212632
7,112.440792900764250,22.671474163902801
8,112.537835454272370,22.674212826081817
9,112.562098417232620,22.674888351598732
10,112.586362300081990,22.675560219962144
11,113.120390375934630,22.689414951103437
12,113.144674041252370,22.690002554912279
13,113.168958506792460,22.690586488826902
14,113.193243767556200,22.691166752354608
15,113.217529818543920,22.691743345005758
16,112.391523285351550,22.692594065599557
17,112.415784559922770,22.693292290001054
18,112.440046784895800,22.693986856692181
19,112.464309955299800,22.694677765088120
20,112.488574066162710,22.695365014607074
21,112.537105089371720,22.696728534702057
22,112.561371991768180,22.697404804129672
23,112.585639814724350,22.698077412383494
24,112.706992563647110,22.701385516320745
25,112.731265805394070,22.702036145739413
26,112.755539932834840,22.702683110081882
27,112.779814940984240,22.703326408802848
28,113.071181918034970,22.710759880648826
29,113.095467921276070,22.711355478055555
30,113.119754735325530,22.711947402527020
31,113.144042355183000,22.712535653563744
32,113.168330775847120,22.713120230669322
33,113.192619992315610,22.713701133350419
34,113.216909999585180,22.714278361116754
35,112.390768342743950,22.715105139311682
36,112.415033557622730,22.715804131972426
37,112.439299723596450,22.716499462905766
38,112.463566835690670,22.717191131526135
39,112.487834888929800,22.717879137250979
40,112.512103878337160,22.718563479500780
41,112.536373798934890,22.719244157699073
42,112.560644645744050,22.719921171272421
43,112.584916413784580,22.720594519650437
44,112.609189098075330,22.721264202265765
45,112.633462693634030,22.721930218554103
46,112.657737195477340,22.722592567954191
47,112.682012598620770,22.723251249907815
48,112.706288898078840,22.723906263859803
49,112.730566088864920,22.724557609258031
50,112.754844165991370,22.725205285553439
51,112.779123124469420,22.725849292199999
52,112.803402959309320,22.726489628654754
53,113.070537554305990,22.733290944767027
54,113.094827515906730,22.733887197680996
55,113.119118288908370,22.734479773622816
56,113.143409868306900,22.735068672092371
57,113.167702249097370,22.735653892592595
58,113.191995426273860,22.736235434629506
59,113.216289394829470,22.736813297712196
60,113.240584149756390,22.737387481352830
61,113.264879686045830,22.737957985066622
62,113.289175998688050,22.738524808371899
63,113.313473082672430,22.739087950790029
64,112.390012444068150,22.737616125881576
65,112.414281604227780,22.738315887044404
66,112.438551716176630,22.739011982461566
67,112.462822774936650,22.739704411546722
68,112.487094775528720,22.740393173716551
69,112.511367712972510,22.741078268390808
70,112.535641582286630,22.741759694992243
71,112.559916378488550,22.742437452946692
72,112.584192096594620,22.743111541683017
73,112.608468731620080,22.743781960633129
74,112.632746278579110,22.744448709231985
75,112.657024732484710,22.745111786917597
76,112.681304088348910,22.745771193131013
77,112.705584341182530,22.746426927316357
78,112.729865485995400,22.747078988920766
79,112.754147517796270,22.747727377394472
80,112.778430431592770,22.748372092190746
81,112.802714222391530,22.749013132765896
82,113.069892374173040,22.755821928070187
83,113.094186299136450,22.756418836699165
84,113.118481036094220,22.757012064317852
85,113.142776580038800,22.757601610425475
86,113.167072925961530,22.758187474524320
87,113.191370068852900,22.758769656119775
88,113.215668003702400,22.759348154720275
89,113.239966725498580,22.759922969837351
90,113.264266229229010,22.760494100985593
91,113.288566509880350,22.761061547682694
92,113.312867562438300,22.761625309449393
93,113.337169381887680,22.762185385809545
94,113.361471963212300,22.762741776290046
95,112.389255588626280,22.760127025226538
96,112.413528699043650,22.760827555134654
97,112.437802761945630,22.761524415277588
98,112.462077772350640,22.762217605068230
99,112.486353725275890,22.762907123922503
100,112.510630615737540,22.763592971259413
